2025-08-25 14:25:16,Greenwood,6 min
2025-08-25 14:25:16,Saluda,0 min
2025-08-25 14:25:16,Rock Hill,36 min
2025-08-25 14:30:17,Greenville - Saluda Dam,78 min
2025-08-25 14:30:17,Greenville - Edgeworth,74 min
2025-08-25 14:30:17,Pickens,39 min
2025-08-25 14:30:17,Greer,47 min
2025-08-25 14:30:17,Fountain Inn,0 min
2025-08-25 14:30:17,Spartanburg - Fairforest Road,17 min
2025-08-25 14:30:17,Woodruff,75 min
2025-08-25 14:30:17,Belton,1 min
2025-08-25 14:30:17,Anderson,0 min
2025-08-25 14:30:17,Spartanburg - Southport Road,10 min
2025-08-25 14:30:17,Seneca,29 min
2025-08-25 14:30:17,Laurens,13 min
2025-08-25 14:30:17,Gaffney,12 min
2025-08-25 14:30:17,Union,59 min
2025-08-25 14:30:17,Abbeville,2 min
2025-08-25 14:30:17,Greenwood,6 min
2025-08-25 14:30:17,Saluda,0 min
2025-08-25 14:30:17,Rock Hill,30 min
2025-08-25 14:35:17,Greenville - Saluda Dam,82 min
2025-08-25 14:35:17,Greenville - Edgeworth,72 min
2025-08-25 14:35:17,Pickens,29 min
2025-08-25 14:35:17,Greer,46 min
2025-08-25 14:35:17,Fountain Inn,0 min
2025-08-25 14:35:17,Spartanburg - Fairforest Road,21 min
2025-08-25 14:35:17,Woodruff,76 min
2025-08-25 14:35:17,Belton,0 min
2025-08-25 14:35:17,Anderson,0 min
2025-08-25 14:35:17,Spartanburg - Southport Road,14 min
2025-08-25 14:35:17,Seneca,23 min
2025-08-25 14:35:17,Laurens,18 min
2025-08-25 14:35:17,Gaffney,3 min
2025-08-25 14:35:17,Union,46 min
2025-08-25 14:35:17,Abbeville,0 min
2025-08-25 14:35:17,Greenwood,2 min
2025-08-25 14:35:17,Saluda,0 min
2025-08-25 14:35:17,Rock Hill,25 min
2025-08-25 14:40:17,Greenville - Saluda Dam,74 min
2025-08-25 14:40:17,Greenville - Edgeworth,72 min
2025-08-25 14:40:17,Pickens,32 min
2025-08-25 14:40:17,Greer,50 min
2025-08-25 14:40:17,Fountain Inn,0 min
2025-08-25 14:40:17,Spartanburg - Fairforest Road,20 min
2025-08-25 14:40:17,Woodruff,67 min
2025-08-25 14:40:17,Belton,1 min
2025-08-25 14:40:17,Anderson,5 min
2025-08-25 14:40:17,Spartanburg - Southport Road,14 min
2025-08-25 14:40:17,Seneca,22 min
2025-08-25 14:40:17,Laurens,19 min
2025-08-25 14:40:17,Gaffney,8 min
2025-08-25 14:40:17,Union,51 min
2025-08-25 14:40:17,Abbeville,0 min
2025-08-25 14:40:17,Greenwood,0 min
2025-08-25 14:40:17,Saluda,0 min
2025-08-25 14:40:17,Rock Hill,26 min
2025-08-25 14:45:17,Greenville - Saluda Dam,67 min
2025-08-25 14:45:17,Greenville - Edgeworth,68 min
2025-08-25 14:45:17,Pickens,37 min
2025-08-25 14:45:17,Greer,47 min
2025-08-25 14:45:17,Fountain Inn,0 min
2025-08-25 14:45:17,Spartanburg - Fairforest Road,17 min
2025-08-25 14:45:17,Woodruff,72 min
2025-08-25 14:45:17,Belton,0 min
2025-08-25 14:45:17,Anderson,10 min
2025-08-25 14:45:17,Spartanburg - Southport Road,11 min
2025-08-25 14:45:17,Seneca,5 min
2025-08-25 14:45:17,Laurens,23 min
2025-08-25 14:45:17,Gaffney,0 min
2025-08-25 14:45:17,Union,29 min
2025-08-25 14:45:17,Abbeville,0 min
2025-08-25 14:45:17,Greenwood,2 min
2025-08-25 14:45:17,Saluda,0 min
2025-08-25 14:45:17,Rock Hill,17 min
2025-08-25 14:50:06,Greenville - Saluda Dam,65 min
2025-08-25 14:50:06,Greenville - Edgeworth,69 min
2025-08-25 14:50:06,Pickens,42 min
2025-08-25 14:50:06,Greer,46 min
2025-08-25 14:50:06,Fountain Inn,0 min
2025-08-25 14:50:06,Spartanburg - Fairforest Road,9 min
2025-08-25 14:50:06,Woodruff,53 min
2025-08-25 14:50:06,Belton,0 min
2025-08-25 14:50:06,Anderson,0 min
2025-08-25 14:50:06,Spartanburg - Southport Road,11 min
2025-08-25 14:50:06,Seneca,5 min
2025-08-25 14:50:06,Laurens,23 min
2025-08-25 14:50:06,Gaffney,0 min
2025-08-25 14:50:06,Union,0 min
2025-08-25 14:50:06,Abbeville,0 min
2025-08-25 14:50:06,Greenwood,7 min
2025-08-25 14:50:06,Saluda,0 min
2025-08-25 14:50:06,Rock Hill,16 min
2025-08-25 14:55:17,Greenville - Saluda Dam,66 min
2025-08-25 14:55:17,Greenville - Edgeworth,68 min
